cohort,tau_months,rmst_am_months,rmst_dc_months,diff_months,boot_ci95_lo,boot_ci95_hi,n_am,n_dc,significant
TCGA-SKCM,36,32.58,27.33,5.24,2.77,7.86,58,122,SIG
TCGA-SKCM,60,47.99,36.64,11.35,5.33,16.77,58,122,SIG
TCGA-SKCM,84,59.84,42.49,17.35,8.92,25.99,58,122,SIG
TCGA-SKCM,120,73.4,49.22,24.19,10.78,36.8,58,122,SIG
TCGA-LUAD,36,31.81,28.5,3.31,0.05,6.22,65,157,SIG
TCGA-LUAD,60,47.97,40.16,7.81,1.33,14.2,65,157,SIG
TCGA-LUAD,84,61.33,48.66,12.67,0.07,23.32,65,157,SIG
TCGA-LUAD,120,79.24,58.79,20.45,-0.53,41.41,65,157,ns
